date,APP,ACH,ACC,APD,RE,FI,CO,year,month,month_name,period,mom_growth_pct,yoy_growth_pct,rolling_3m,rolling_12m,cumulative_APP,app_to_re_pct
2024-06-01,1463,187,124,84,76,42,22,2024,6,Jun,2024-06,-28.14341846758349,4.054054054054057,1765.0,1403.3333333333333,39084,5.194805194805195
2024-07-01,1303,168,124,75,181,84,52,2024,7,Jul,2024-07,-10.936431989063566,6.54129190515127,1600.6666666666667,1410.0,40387,13.891020721412126
2024-08-01,1252,125,80,40,106,162,120,2024,8,Aug,2024-08,-3.914044512663084,-3.3950617283950657,1339.3333333333333,1406.3333333333333,41639,8.466453674121405
2024-09-01,1349,227,135,50,37,92,55,2024,9,Sep,2024-09,7.747603833865813,6.809184481393515,1301.3333333333333,1413.5,42988,2.742772424017791
2024-10-01,1412,270,170,63,43,72,49,2024,10,Oct,2024-10,4.670126019273546,24.95575221238937,1337.6666666666667,1437.0,44400,3.045325779036827
2024-11-01,1432,294,189,93,24,46,30,2024,11,Nov,2024-11,1.4164305949008416,15.297906602254429,1397.6666666666667,1452.8333333333333,45832,1.675977653631285
2024-12-01,1192,227,149,68,66,21,11,2024,12,Dec,2024-12,-16.759776536312852,20.77001013171227,1345.3333333333333,1469.9166666666667,47024,5.5369127516778525
2025-01-01,1193,115,80,19,29,60,36,2025,1,Jan,2025-01,0.0838926174496546,17.19056974459725,1272.3333333333333,1484.5,48217,2.4308466051969826
2025-02-01,1293,238,168,107,41,42,25,2025,2,Feb,2025-02,8.382229673093033,1.2529365700861383,1226.0,1485.8333333333333,49510,3.17092034029389
2025-03-01,1804,288,188,75,27,26,17,2025,3,Mar,2025-03,39.520494972931175,-14.461830251303931,1430.0,1460.4166666666667,51314,1.4966740576496673
2025-04-01,2245,346,219,93,14,33,16,2025,4,Apr,2025-04,24.44567627494456,25.0,1780.6666666666667,1497.8333333333333,53559,0.623608017817372
2025-05-01,1744,270,191,97,59,22,9,2025,5,May,2025-05,-22.316258351893094,-14.341846758349707,1931.0,1473.5,55303,3.38302752293578
2025-06-01,1158,152,116,67,91,38,22,2025,6,Jun,2025-06,-33.600917431192656,-20.847573479152427,1715.6666666666667,1448.0833333333333,56461,7.858376511226252
2025-07-01,1253,162,121,71,148,106,78,2025,7,Jul,2025-07,8.203799654576848,-3.8372985418265504,1385.0,1443.9166666666667,57714,11.811652035115722
2025-08-01,2025,155,112,58,60,121,69,2025,8,Aug,2025-08,61.612130885873896,61.74121405750799,1478.6666666666667,1508.3333333333333,59739,2.9629629629629632
2025-09-01,1660,231,167,76,58,73,48,2025,9,Sep,2025-09,-18.02469135802469,23.05411415863603,1646.0,1534.25,61399,3.493975903614458
2025-10-01,1716,304,215,125,11,53,35,2025,10,Oct,2025-10,3.3734939759036076,21.52974504249292,1800.3333333333333,1559.5833333333333,63115,0.641025641025641
2025-11-01,1781,206,135,96,25,39,21,2025,11,Nov,2025-11,3.7878787878787845,24.37150837988826,1719.0,1588.6666666666667,64896,1.403705783267827
2025-12-01,1357,221,175,106,60,23,15,2025,12,Dec,2025-12,-23.80685008422234,13.84228187919463,1618.0,1602.4166666666667,66253,4.421518054532056
